id,ident,type,name,latitude_deg,longitude_deg,scheduled_service
14789,88IL,closed,Mary's Landing Airport,42.413102,-88.733299,no
14790,88IN,closed,Gardner Airport,39.5798,-85.932198,no
14824,89IL,closed,UMC Trauma Center Heliport,41.5028,-90.526496,no
14858,8AK4,closed,Scout Lake Seaplane Base,60.534199,-150.852001,no
14930,8GA4,closed,Doctors Hospital Heliport,33.481701,-82.091698,no
14980,8K4,closed,St Mary's Airpark,39.272499,-96.061402,no
45558,8NK2,closed,Marine Helicopter Squadron 361 Heliport,40.956944,-72.569445,no
15112,8OH6,closed,Odot Dist 4 Summit Co Heliport,41.1423,-81.466797,no
15113,8OH7,closed,Morris Field,40.88230133,-80.60030365,no
15173,8TA4,closed,Laseair Airport,29.445499,-95.007697,no
15185,8TE6,closed,"Faith Cattle Company, Longfellow Ranch Airport",30.3002,-102.717002,no
15223,8U5,closed,Sunburst Airport,48.886701,-111.921996,no
15227,8VA1,closed,Grand Pre Farm Airport,38.454303,-78.186402,no
15262,8XS3,closed,Pegasus Place Airstrip,30.56690025,-97.82949829,no
15291,90OK,closed,Stewart Farms Airport,36.500599,-98.501999,no
15297,90TS,closed,Jordan Ranch Airport,30.7792,-95.797203,no
15383,93FL,closed,Pine Lakes Farm Airport,28.9447,-81.408096,no
15444,95AK,closed,Medivac - Wasilla Heliport,61.585602,-149.425004,no
15489,96IN,closed,Medical Center Heliport,39.779202,-86.185501,no
15495,96MN,closed,Air-Ag Airport,43.568001,-93.254402,no
15499,96OH,closed,Ohio Department of Transportation Dist 6 Heliport,40.295797,-83.052002,no
15503,96PA,closed,Franklin Center Airport,41.920898,-80.249803,no
15541,97PA,closed,Willows Airport,41.908401,-80.258102,no
15614,99L,closed,Pomona Superior Court Heliport,34.05249863,-117.7490005,no
15774,9KS5,closed,Rush Field,38.577801,-98.100304,no
15821,9MN8,closed,Whiskey Lake Seaplane Base,45.973098,-95.576104,no
15914,9OK9,closed,Strang Airpark,35.544498,-94.486297,no
15925,9PA1,closed,Carbondale-Clifford Airport,41.654202,-75.578796,no
15991,9TS5,closed,Wilford Hall Medical Center Heliport,29.397377,-98.624175,no
16017,9VA7,closed,Fire Station No. 14 Heliport,37.3549,-77.415497,no
307979,ABE,closed,RAF Calveley,53.113333,-2.603889,no
302247,ABL,closed,RNAS/RAF Calshot,50.81991315,-1.306772232,no
321987,ABW,closed,Abau Airport,-10.1956,148.7389,no
300604,ADJ,closed,RAF Castletown,58.58471989,-3.348169327,no
299315,AGGQ,closed,Ontong Java Atoll Airstrip,-5.515,159.5277778,no
299321,AHT,closed,Amchitka Army Airfield,51.37777778,179.2591667,no
16134,AK42,closed,Valley Hospital - Palmer Heliport,61.600899,-149.106009,no
16140,AK48,closed,"Valley Hospital, Wasilla Heliport",61.585202,-149.425004,no
16146,AK53,closed,Downwind Landing Airport,61.582298,-148.996994,no
16196,AL04,closed,Pleasant View Farm Airport,30.4627,-87.525002,no
16248,AL56,closed,Jones Light Aviation Airport,32.500099,-85.083298,no
16256,AL67,closed,Exxon Heliport,30.5308,-88.110001,no
44682,AM-0001,closed,Kapan Airport,39.20299912,46.45500183,no
44963,AM-0005,closed,Gavar Airport,40.37120115,45.097332,no
44964,AM-0006,closed,Mets Mazrik Airstrip,40.19985489,45.77711105,no
308048,AM-0007,closed,Meghri Airport,38.91157257,46.19892597,no
301759,ANH,closed,Anuha Island Resort Airport,-9.001388889,160.225,no
318399,AO-0009,closed,Cuangar Old Airport,-17.599985,18.623552,no
318400,AO-0010,closed,Savate Airport,-16.880647,18.002593,no
318477,AO-0013,closed,Luiana Airport,-17.380791,23.002339,no
318478,AO-0014,closed,Coutada Airport,-17.017654,21.301774,no
318479,AO-0015,closed,Rivungo Airport,-15.793551,21.380704,no
318483,AO-0018,closed,Luena Airport,-12.740271,20.736829,no
318491,AO-0026,closed,Nova Chaves Airport,-10.598408,21.315093,no
318526,AO-0031,closed,Cazaje Airport,-11.063437,20.695914,no
318531,AO-0036,closed,Namacunde Airport,-17.302638,15.850786,no
313771,AOA,closed,Aroa Airport,-9.0254,146.8,no
308225,AQ-0003,closed,Gonz_lez Videla Antarctic Base,-64.824,-62.857,no
324981,AQ-0004,closed,Base Cientifica Ellsworth,-77.650008,-41.0333,no
35400,AR-0006,closed,[Duplicate] Brigadier Hector Ruiz Airport,-37.43330002,-61.88330078,no
35409,AR-0015,closed,Saenz Pe_a Airport,-26.81579971,-60.44829941,no
35410,AR-0016,closed,(Old) Antoine De Saint Exupery Airport,-40.74010086,-64.98049927,no
38850,AR-0175,closed,General Rodriguez Airport,-34.497234,-59.037457,no
42811,AR-0389,closed,Carlos Saqui Airport,-31.63500023,-63.86109924,no
42831,AR-0409,closed,Estancia El Cha_ar Airport,-31.2887,-62.4189,no
42850,AR-0428,closed,Guatrach_ Airport,-37.68280029,-63.55080032,no
42852,AR-0430,closed,Haras Trelliris Airport,-35.3314,-60.5792,no
42865,AR-0443,closed,Match Point Airport,-34.5161,-59.1339,no
42906,AR-0484,closed,General Alvear Airport,-35.9783,-59.9061,no
16298,AR04,closed,Gunem Field,36.261701,-94.248299,no
16318,AR28,closed,Odom Field,34.939301,-92.024597,no
301832,ARX,closed,Asbury Park Neptune Air Terminal,40.21930556,-74.09083333,no
16385,AS89,closed,Public Safety Heliport,33.537128,-112.18158,no
320904,AT-0005,closed,Retzer Land Heliport,48.7545,15.9622,no
28102,AU-0001,closed,Hopetoun Airfield,-33.90850067,120.1470032,no
44624,AU-0031,closed,Avon Valley NP Airstrip,-31.60554886,116.2613144,no
46373,AU-0042,closed,Hutt River Airstrip,-28.07122297,114.4773674,no
298806,AU-0051,closed,[Duplicate] Baralaba,-24.19357,149.843166,no
310912,AU-0075,closed,Horse Hair Plain Aerodrome,-37.0331,147.3055,no
30687,AU-BCK,closed,[Duplicate] Bolwarra Airport,-17.38829994,144.1690063,no
30697,AU-BFC,closed,[Duplicate] Bloomfield Airport,-15.87360001,145.3300018,no
30803,AU-BVW,closed,[Duplicate] Batavia Downs Airport,-12.65919971,142.6750031,no
30849,AU-CQP,closed,[Duplicate] Cape Flattery Airport,-14.97099972,145.3110046,no
30859,AU-CTR,closed,[Duplicate] Cattle Creek Airport,-17.60700035,131.548996,no
30981,AU-EDD,closed,[Duplicate] Erldunda Airport,-25.205799,133.253998,no
31001,AU-EKD,closed,[Duplicate] Elkedra Airport,-21.172421,135.443657,no
31570,AU-HAT,closed,[Duplicate] Heathlands Airport,-11.73690033,142.5769959,no
31578,AU-HIG,closed,[Duplicate] Highbury Airport,-16.42440033,143.1459961,no
31766,AU-KOH,closed,[Duplicate] Koolatah Airport,-15.88860035,142.4389954,no
31791,AU-KYF,closed,[Duplicate] Yeelirrie Airport,-27.27689934,120.0960007,no
31931,AU-MNW,closed,[Duplicate] Macdonald Downs Airport,-22.44400024,135.1990051,no
31969,AU-MUP,closed,[Duplicate] Mulga Park Airport,-25.86000061,131.6499939,no
32032,AU-NKB,closed,[Duplicate] Noonkanbah Airport,-18.49469948,124.8519974,no
32674,AU-WRW,closed,[Duplicate] Warrawagine Airport,-20.84420013,120.7020035,no
32677,AU-WSY,closed,[Duplicate] Whitsunday Airstrip,-20.27611,148.755,no
308669,AUS,closed,Austin Robert Mueller Municipal,30.29872235,-97.69978523,no
313134,AWR,closed,Awar Airport,-4.124,144.853,no
308079,AYLA,closed,Lae Airfield,-6.731666,146.996368,no
308586,AYRB,closed,Lakunai Airfield,-4.223,152.185,no
301768,AYZ,closed,Zahn's Airport,40.71,-73.4,no
44948,AZ-0007,closed,G_y_ay Airport,40.62318348,47.76285231,no
44961,AZ-0020,closed,Pushkino East Air Base,39.51604299,48.69063377,no
16392,AZ04,closed,Hillair Dirt Strip,33.919201,-113.190001,no
16394,AZ06,closed,Dateland Airfield,32.8172,-113.527,no
16399,AZ11,closed,KPNX-TV Studios Heliport,33.461201,-112.075996,no
16456,AZ69,closed,Honeywell Inc. Heliport,33.638401,-112.176003,no
313775,BAP,closed,Baibara Airport,-10.3432,149.6414,no
301857,BCJ,closed,Baca Grande Airfield,37.96477778,-105.7766667,no
43750,BE-0001,closed,Froidchapelle Glider Field,50.176388,4.352222,no
43753,BE-0002,closed,Chimay-Virelles Ulmodrome,50.11777878,4.330555916,no
306974,BE-0005,closed,RAF Castle Camps,52.051389,0.378611,no
312154,BE-0007,closed,Imelda Hospital Helipad,51.01767,4.55819,no
